,circuit,param,mae
0,0,L1,1.8120370213300143e-06
1,0,R1,39.35007516009662
2,0,R2,25774.737724329116
3,0,CPE1_t,0.04655540312420239
4,0,CPE1_C,0.00524386109367838
5,1,L1,1.7871128084170802e-06
6,1,R1,43.77061780580138
7,1,R2,332.14516309116635
8,1,CPE1_t,0.13802848527523184
9,1,CPE1_C,3.5691518530589817e-06
10,1,R3,72859.3660934777
11,1,CPE2_t,0.06681646365385786
12,1,CPE2_C,0.01753922608053589
13,2,L1,1.7298130974835916e-06
14,2,R1,39.094293709778995
15,2,R2,212.80500201549714
16,2,CPE1_t,0.15257409702176636
17,2,CPE1_C,3.2140822254746134e-06
18,2,R3,6017.969768510197
19,2,CPE2_t,0.1363059161517931
20,2,CPE2_C,0.008348424869451265
21,2,R4,245110.58284549075
22,2,CPE3_t,0.13045750176595605
23,2,CPE3_C,0.30940158805942986
24,3,R1,3.3767565681613263
25,3,C1,7.824425997198625e-06
26,3,R_g1,1.9704993853838781
27,3,t_g1,1.08089213159002
28,3,R_g2,13.879450376266997
29,3,t_g2,13.3237646500987
30,4,R1,3.6397170751600005
31,4,R2,6.813736913070199
32,4,R3,12.987889788421237
33,4,R4,115841.66221030056
34,4,C2,1.2747358515547724e-05
35,4,CPE3_C,9.209060025351918e-05
36,4,CPE4_t,0.08799817105343463
37,4,CPE4_C,0.4154885194734696
38,4,C1,1.6548074187361756e-16
39,4,CPE3_t,8.344650270775134e-08
40,5,R1,30.451551657601037
41,5,R2,17076.08600554177
42,5,CPE1_t,0.12546825351143756
43,5,CPE1_C,0.0014419047571181472
44,5,CPE2_t,0.05945041660229729
45,5,CPE2_C,0.01722295085679791
46,6,R1,10.603662767189284
47,6,R2,264.47680108094244
48,6,R3,75139.17970572211
49,6,CPE1_t,0.13622679237137858
50,6,CPE1_C,2.600046108528484e-06
51,6,CPE2_t,0.11847464492257719
52,6,CPE2_C,7.254244471895426e-05
53,6,CPE3_t,0.06633805132334211
54,6,CPE3_C,0.029305298576470185
55,7,R1,34.03699849703366
56,7,R2,183.70348189107474
57,7,R3,2160.5561694555186
58,7,R4,126563.94742673109
59,7,CPE1_t,0.13876790609742914
60,7,CPE1_C,0.00029220162125501837
61,7,CPE2_t,0.13487973168492312
62,7,CPE2_C,0.0022535062846743632
63,7,CPE3_t,0.10841657810126026
64,7,CPE3_C,0.006373362675087863
65,7,CPE4_t,0.09921867179444854
66,7,CPE4_C,0.03814262591783839
67,8,R1,19.31876629635666
68,8,W1_R,251.31568748388503
69,8,W1_T,181.01048759902795
70,8,W1_p,0.14154241745730473
